Year,Month,ProductCategory,Sales(In ThousandDollars)
2009,1,MenClothing,524
2009,2,MenClothing,496
2009,3,MenClothing,542
2009,4,MenClothing,669
2009,5,MenClothing,650
2009,6,MenClothing,607
2009,7,MenClothing,575
2009,8,MenClothing,551
2009,9,MenClothing,579
2009,10,MenClothing,610
2009,11,MenClothing,620
2009,12,MenClothing,930
2010,1,MenClothing,476
2010,2,MenClothing,471
2010,3,MenClothing,568
2010,4,MenClothing,630
2010,5,MenClothing,627
2010,6,MenClothing,598
2010,7,MenClothing,544
2010,8,MenClothing,
2010,9,MenClothing,563
2010,10,MenClothing,634
2010,11,MenClothing,669
2010,12,MenClothing,988
2011,1,MenClothing,487
2011,2,MenClothing,497
2011,3,MenClothing,599
2011,4,MenClothing,690
2011,5,MenClothing,677
2011,6,MenClothing,
2011,7,MenClothing,587
2011,8,MenClothing,549
2011,9,MenClothing,643
2011,10,MenClothing,682
2011,11,MenClothing,707
2011,12,MenClothing,1081
2012,1,MenClothing,525
2012,2,MenClothing,545
2012,3,MenClothing,623
2012,4,MenClothing,711
2012,5,MenClothing,725
2012,6,MenClothing,703
2012,7,MenClothing,613
2012,8,MenClothing,
2012,9,MenClothing,687
2012,10,MenClothing,710
2012,11,MenClothing,731
2012,12,MenClothing,1080
2013,1,MenClothing,599
2013,2,MenClothing,560
2013,3,MenClothing,682
2013,4,MenClothing,718
2013,5,MenClothing,749
2013,6,MenClothing,678
2013,7,MenClothing,648
2013,8,MenClothing,687
2013,9,MenClothing,681
2013,10,MenClothing,785
2013,11,MenClothing,798
2013,12,MenClothing,1085
2014,1,MenClothing,573
2014,2,MenClothing,636
2014,3,MenClothing,702
2014,4,MenClothing,785
2014,5,MenClothing,801
2014,6,MenClothing,702
2014,7,MenClothing,655
2014,8,MenClothing,692
2014,9,MenClothing,
2014,10,MenClothing,757
2014,11,MenClothing,803
2014,12,MenClothing,1070
